"tick","donation-normed-small","donation-small","donation-valued-small"
1.0,25.0,33.962581595302716,95.0
2.0,25.0,33.890008890013334,95.0
3.0,25.0,33.81917103688197,95.0
4.0,25.0,33.75,95.0
5.0,25.0,33.68243142124459,95.0
6.0,25.0,33.61640436855329,95.0
7.0,25.0,33.551861104941366,95.0
8.0,25.0,33.48874687627166,95.0
9.0,25.0,33.427009716003845,95.0
10.0,25.0,33.36660026534075,95.0
11.0,25.0,33.30747160735697,95.0
12.0,25.0,33.249579113843055,95.0
13.0,25.0,33.19288030372914,95.0
14.0,25.0,33.13733471206735,95.0
15.0,25.0,33.08290376865476,95.0
16.0,25.0,33.029550685469665,95.0
17.0,25.0,32.97724035217466,95.0
18.0,25.0,32.925939239012166,95.0
19.0,25.0,32.87561530648217,95.0
20.0,25.0,32.82623792124926,95.0
21.0,25.0,32.777777777777786,95.0
22.0,25.0,32.73020682523926,95.0
23.0,25.0,32.68349819927832,95.0
24.0,25.0,32.637626158259735,95.0
25.0,25.0,32.592566023652964,95.0
26.0,25.0,32.54829412424069,95.0
27.0,25.0,32.50478774386456,95.0
28.0,25.0,32.462025072446366,95.0
29.0,25.0,32.41998516004452,95.0
30.0,25.0,32.378647873726216,95.0
31.0,25.0,32.337993857053426,95.0
32.0,25.0,32.29800449199762,95.0
33.0,25.0,32.25866186311298,95.0
34.0,25.0,32.219948723811555,95.0
35.0,25.0,32.18184846459608,95.0
36.0,25.0,32.14434508311761,95.0
37.0,25.0,32.10742315593534,95.0
38.0,25.0,32.071067811865476,95.0
39.0,25.0,32.03526470681449,95.0
40.0,25.0,32.0,95.0
41.0,25.0,31.96526033146992,95.0
42.0,25.0,31.931032800836725,95.0
43.0,25.0,31.897304947150047,95.0
44.0,25.0,31.864064729836446,95.0
45.0,25.0,31.831300510639736,95.0
46.0,25.0,31.799001036500847,95.0
47.0,25.0,31.767155423319643,95.0
48.0,25.0,31.735753140545636,95.0
49.0,26.347150628109127,26.369174347866554,77.0
50.0,26.347150628109127,26.35008480103154,77.0
