"tick","donation-normed-small","donation-small","donation-valued-small"
1.0,92.5,94.999375,95.0
2.0,92.5,94.99875,95.0
3.0,92.5,94.998125,95.0
4.0,92.5,94.9975,95.0
5.0,92.5,94.99723169988839,95.0
6.0,92.5,94.99216852454677,95.0
7.0,92.5,94.97840538702134,95.0
8.0,92.5,94.94099330038338,95.0
9.0,92.49409933003834,77.01749409933004,77.0
10.0,92.49409933003834,77.03498819866009,77.0
11.0,92.49409933003834,77.05248229799011,77.0
12.0,92.49409933003834,77.06997639732015,77.0
13.0,92.49409933003834,77.0774862674048,77.0
14.0,92.49409933003834,77.21920737516751,77.0
15.0,92.49409933003834,77.60444528710796,77.0
16.0,92.49409933003834,78.65163050276925,77.0
17.0,92.49409933003834,81.49817504553226,77.0
18.0,92.49409933003834,88.96197938042364,77.0
19.0,92.49409933003834,89.21942991886152,77.0
20.0,92.49409933003834,89.44398785132451,77.0
21.0,92.49409933003834,89.64210916446038,77.0
22.0,92.49409933003834,89.81860461695298,77.0
23.0,92.49409933003834,89.97714230589588,77.0
24.0,92.49409933003834,90.12057449752876,77.0
25.0,92.49409933003834,90.25115701457979,77.0
26.0,92.49409933003834,90.37070057436463,77.0
27.0,92.49409933003834,90.48067769383309,77.0
28.0,92.49409933003834,90.58229979932841,77.0
29.0,92.49409933003834,90.67657388265847,77.0
30.0,92.49409933003834,90.76434482087797,77.0
31.0,92.49409933003834,90.84632745877913,77.0
32.0,92.49409933003834,90.92313125769176,77.0
33.0,92.49409933003834,90.99527946403066,77.0
34.0,92.49409933003834,91.06322418170774,77.0
35.0,92.49409933003834,91.12735834422911,77.0
36.0,92.49409933003834,91.18802531301384,77.0
37.0,92.49409933003834,91.24552663884393,77.0
38.0,92.49409933003834,91.300128387939,77.0
39.0,92.49409933003834,91.3520663361804,77.0
40.0,92.49409933003834,91.40155026328306,77.0
41.0,92.49409933003834,91.44876752560911,77.0
42.0,92.49409933003834,91.49388604659426,77.0
43.0,92.49409933003834,91.5370568337533,77.0
44.0,92.49409933003834,91.57841610836529,77.0
45.0,92.49409933003834,91.6180871163607,77.0
46.0,92.49409933003834,91.6561816753168,77.0
47.0,92.49409933003834,91.69280150183648,77.0
48.0,92.49409933003834,91.728039355231,77.0
49.0,92.49409933003834,91.7619800268133,77.0
50.0,92.49409933003834,91.79470119884384,77.0
51.0,92.49409933003834,91.8262741929509,77.0
52.0,92.49409933003834,91.85676462444994,77.0
53.0,92.49409933003834,91.88623297623171,77.0
54.0,92.49409933003834,91.91473510364942,77.0
55.0,92.49409933003834,91.94232267999897,77.0
56.0,92.49409933003834,91.96904359068142,77.0
57.0,92.49409933003834,91.99494228289,77.0
58.0,92.49409933003834,92.02006007663411,77.0
59.0,92.49409933003834,92.04443544205229,77.0
60.0,92.49409933003834,92.06810424724935,77.0
61.0,92.49409933003834,92.0910999802899,77.0
62.0,92.49409933003834,92.11345394847396,77.0
63.0,92.49409933003834,92.1351954575923,77.0
64.0,92.49409933003834,92.15635197349567,77.0
65.0,92.49409933003834,92.17694926800377,77.0
66.0,92.49409933003834,92.19701155091734,77.0
67.0,92.49409933003834,92.21656158967028,77.0
68.0,92.49409933003834,92.23562081796712,77.0
69.0,92.49409933003834,92.25420943458406,77.0
70.0,92.49409933003834,92.27234649336953,77.0
71.0,92.49409933003834,92.29004998535532,77.0
72.0,92.49409933003834,92.30733691378354,77.0
73.0,92.49409933003834,92.32422336275978,77.0
74.0,92.49409933003834,92.34072456016338,77.0
75.0,92.49409933003834,92.35685493537353,77.0
76.0,92.49409933003834,92.37262817230908,77.0
77.0,92.49409933003834,92.38805725822449,77.0
78.0,92.49409933003834,92.4031545286584,77.0
79.0,92.49409933003834,92.41793170888725,77.0
80.0,92.49409933003834,92.4323999522015,77.0
